FL_DATE,AIRLINE,AIRLINE_DOT,AIRLINE_CODE,DOT_CODE,FL_NUMBER,ORIGIN,ORIGIN_CITY,DEST,DEST_CITY,CRS_DEP_TIME,DEP_TIME,DEP_DELAY,TAXI_OUT,WHEELS_OFF,WHEELS_ON,TAXI_IN,CRS_ARR_TIME,ARR_TIME,ARR_DELAY,CANCELLED,CANCELLATION_CODE,DIVERTED,CRS_ELAPSED_TIME,ELAPSED_TIME,AIR_TIME,DISTANCE,DELAY_DUE_CARRIER,DELAY_DUE_WEATHER,DELAY_DUE_NAS,DELAY_DUE_SECURITY,DELAY_DUE_LATE_AIRCRAFT
2022-10-04,Mesa Airlines Inc.,Mesa Airlines Inc.: YV,YV,20378,6144,JAX,"Jacksonville, FL",IAD,"Washington, DC",1408,1405.0,-3.0,10.0,1415.0,1544.0,7.0,1604,1551.0,-13.0,0.0,,0.0,116.0,106.0,89.0,630.0,,,,,
2023-05-16,Endeavor Air Inc.,Endeavor Air Inc.: 9E,9E,20363,4867,ATL,"Atlanta, GA",CSG,"Columbus, GA",2050,2121.0,31.0,13.0,2134.0,2154.0,3.0,2142,2157.0,15.0,0.0,,0.0,52.0,36.0,20.0,83.0,0.0,0.0,0.0,0.0,15.0
2023-06-04,JetBlue Airways,JetBlue Airways: B6,B6,20409,946,BNA,"Nashville, TN",BOS,"Boston, MA",1320,1453.0,93.0,23.0,1516.0,1831.0,4.0,1654,1835.0,101.0,0.0,,0.0,154.0,162.0,135.0,942.0,0.0,0.0,16.0,0.0,85.0
2019-10-21,Delta Air Lines Inc.,Delta Air Lines Inc.: DL,DL,19790,1360,ATL,"Atlanta, GA",PNS,"Pensacola, FL",1505,1506.0,1.0,14.0,1520.0,1508.0,4.0,1517,1512.0,-5.0,0.0,,0.0,72.0,66.0,48.0,271.0,,,,,
2022-11-22,United Air Lines Inc.,United Air Lines Inc.: UA,UA,19977,1379,JAX,"Jacksonville, FL",IAD,"Washington, DC",1920,1938.0,18.0,12.0,1950.0,2115.0,5.0,2107,2120.0,13.0,0.0,,0.0,107.0,102.0,85.0,630.0,,,,,
2021-11-08,Republic Airline,Republic Airline: YX,YX,20452,3634,IAD,"Washington, DC",ROC,"Rochester, NY",1245,1239.0,-6.0,25.0,1304.0,1352.0,8.0,1407,1400.0,-7.0,0.0,,0.0,82.0,81.0,48.0,288.0,,,,,
2020-05-28,JetBlue Airways,JetBlue Airways: B6,B6,20409,1502,FLL,"Fort Lauderdale, FL",JFK,"New York, NY",1258,1249.0,-9.0,10.0,1259.0,1520.0,7.0,1546,1527.0,-19.0,0.0,,0.0,168.0,158.0,141.0,1069.0,,,,,
2022-06-13,Hawaiian Airlines Inc.,Hawaiian Airlines Inc.: HA,HA,19690,289,ITO,"Hilo, HI",HNL,"Honolulu, HI",1445,1502.0,17.0,12.0,1514.0,1551.0,9.0,1540,1600.0,20.0,0.0,,0.0,55.0,58.0,37.0,216.0,3.0,0.0,0.0,0.0,17.0
2022-04-16,JetBlue Airways,JetBlue Airways: B6,B6,20409,261,BOS,"Boston, MA",SJU,"San Juan, PR",2014,2117.0,63.0,27.0,2144.0,115.0,4.0,12,119.0,67.0,0.0,,0.0,238.0,242.0,211.0,1674.0,31.0,0.0,4.0,0.0,32.0
2019-02-18,United Air Lines Inc.,United Air Lines Inc.: UA,UA,19977,2092,BWI,"Baltimore, MD",IAH,"Houston, TX",600,557.0,-3.0,9.0,606.0,829.0,8.0,835,837.0,2.0,0.0,,0.0,215.0,220.0,203.0,1235.0,,,,,
2019-07-19,Delta Air Lines Inc.,Delta Air Lines Inc.: DL,DL,19790,2782,LGA,"New York, NY",BOS,"Boston, MA",1900,1955.0,55.0,17.0,2012.0,2052.0,8.0,2025,2100.0,35.0,0.0,,0.0,85.0,65.0,40.0,184.0,17.0,0.0,0.0,0.0,18.0
2020-10-27,Southwest Airlines Co.,Southwest Airlines Co.: WN,WN,19393,1227,DEN,"Denver, CO",ICT,"Wichita, KS",1220,1234.0,14.0,9.0,1243.0,,,1435,,,0.0,,1.0,75.0,,,420.0,,,,,
2022-05-20,Southwest Airlines Co.,Southwest Airlines Co.: WN,WN,19393,1489,SAN,"San Diego, CA",OAK,"Oakland, CA",1320,1335.0,15.0,10.0,1345.0,1453.0,4.0,1450,1457.0,7.0,0.0,,0.0,90.0,82.0,68.0,446.0,,,,,
2022-11-30,Southwest Airlines Co.,Southwest Airlines Co.: WN,WN,19393,1546,PVD,"Providence, RI",TPA,"Tampa, FL",1550,1633.0,43.0,11.0,1644.0,1949.0,4.0,1905,1953.0,48.0,0.0,,0.0,195.0,200.0,185.0,1136.0,8.0,0.0,5.0,0.0,35.0
2022-05-21,Endeavor Air Inc.,Endeavor Air Inc.: 9E,9E,20363,4915,DSM,"Des Moines, IA",DTW,"Detroit, MI",635,632.0,-3.0,12.0,644.0,858.0,8.0,919,906.0,-13.0,0.0,,0.0,104.0,94.0,74.0,534.0,,,,,
2021-12-24,American Airlines Inc.,American Airlines Inc.: AA,AA,19805,966,DCA,"Washington, DC",PBI,"West Palm Beach/Palm Beach, FL",1344,1341.0,-3.0,11.0,1352.0,1556.0,4.0,1620,1600.0,-20.0,0.0,,0.0,156.0,139.0,124.0,857.0,,,,,
2023-04-15,American Airlines Inc.,American Airlines Inc.: AA,AA,19805,2146,MSP,"Minneapolis, MN",CLT,"Charlotte, NC",1351,1355.0,4.0,15.0,1410.0,1709.0,15.0,1721,1724.0,3.0,0.0,,0.0,150.0,149.0,119.0,930.0,,,,,
2021-05-25,SkyWest Airlines Inc.,SkyWest Airlines Inc.: OO,OO,20304,5366,ORD,"Chicago, IL",CVG,"Cincinnati, OH",1405,1404.0,-1.0,29.0,1433.0,1616.0,4.0,1624,1620.0,-4.0,0.0,,0.0,79.0,76.0,43.0,264.0,,,,,
2019-08-12,Southwest Airlines Co.,Southwest Airlines Co.: WN,WN,19393,2236,SAN,"San Diego, CA",OAK,"Oakland, CA",1025,1024.0,-1.0,12.0,1036.0,1137.0,6.0,1200,1143.0,-17.0,0.0,,0.0,95.0,79.0,61.0,446.0,,,,,
2021-09-25,American Airlines Inc.,American Airlines Inc.: AA,AA,19805,884,DCA,"Washington, DC",DFW,"Dallas/Fort Worth, TX",1101,1058.0,-3.0,13.0,1111.0,1253.0,15.0,1314,1308.0,-6.0,0.0,,0.0,193.0,190.0,162.0,1192.0,,,,,
2019-07-29,American Airlines Inc.,American Airlines Inc.: AA,AA,19805,2249,LAX,"Los Angeles, CA",LAS,"Las Vegas, NV",1118,1114.0,-4.0,16.0,1130.0,1210.0,9.0,1234,1219.0,-15.0,0.0,,0.0,76.0,65.0,40.0,236.0,,,,,
2021-12-17,PSA Airlines Inc.,PSA Airlines Inc.: OH,OH,20397,5529,CLT,"Charlotte, NC",TLH,"Tallahassee, FL",900,859.0,-1.0,23.0,922.0,1026.0,25.0,1036,1051.0,15.0,0.0,,0.0,96.0,112.0,64.0,386.0,0.0,0.0,15.0,0.0,0.0
2020-05-31,Delta Air Lines Inc.,Delta Air Lines Inc.: DL,DL,19790,763,SLC,"Salt Lake City, UT",MSP,"Minneapolis, MN",815,809.0,-6.0,15.0,824.0,1124.0,6.0,1141,1130.0,-11.0,0.0,,0.0,146.0,141.0,120.0,991.0,,,,,
2023-01-21,Frontier Airlines Inc.,Frontier Airlines Inc.: F9,F9,20436,740,DEN,"Denver, CO",TPA,"Tampa, FL",1213,1203.0,-10.0,14.0,1217.0,1709.0,7.0,1744,1716.0,-28.0,0.0,,0.0,211.0,193.0,172.0,1506.0,,,,,
2023-07-04,Republic Airline,Republic Airline: YX,YX,20452,4700,DCA,"Washington, DC",CMH,"Columbus, OH",700,721.0,21.0,30.0,751.0,843.0,6.0,832,849.0,17.0,0.0,,0.0,92.0,88.0,52.0,323.0,17.0,0.0,0.0,0.0,0.0
2023-05-28,Southwest Airlines Co.,Southwest Airlines Co.: WN,WN,19393,2102,STL,"St. Louis, MO",LGA,"New York, NY",1340,1339.0,-1.0,13.0,1352.0,1655.0,31.0,1700,1726.0,26.0,0.0,,0.0,140.0,167.0,123.0,888.0,0.0,0.0,26.0,0.0,0.0
